chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
,,535818,0,0,0,0,0,3,1.5,1.5,1,Simon,2.0,122,False,,,50,535818.jpg,2.7,Adingra,0.3,False,,a,5,36,8,24504,337,26575,2111,0.4,1.6,Adingra,35,1,0,0,2,0,0,0,0,0,0,0,28,42.0,14.7,50.0,10.7,0,0.35,0.04,0.39,2.02,178,69,218,124,84,50,157,77,3.0,,,,,,0.9,0.0,0.1,1.0,5.19,5.14,227,144,165,71,144,63,268,79,0.0,0.0
,,235382,0,0,-1,1,0,3,-0.5,-0.5,0,Steven,0.0,123,False,,,44,235382.jpg,0.0,Alzate,0.1,False,,a,5,36,0,2631,193,6639,481,0.0,0.0,Alzate,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,524,188,512,186,490,177,531,191,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,540,275,532,193,533,193,401,127,0.0,0.0
0.0,0.0,509416,0,0,0,0,0,3,0.0,0.0,0,Yasin,0.0,124,False,Season-long loan to Coventry City,2023-08-23T08:37:48.427770Z,45,509416.jpg,0.0,Ayari,0.0,False,,u,5,36,0,483,0,3501,259,0.0,0.0,Ayari,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,601,232,597,231,588,224,608,235,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,461,246,604,235,605,235,541,203,0.0,0.0
,,536916,-1,1,-2,2,0,3,-0.5,-0.5,0,Facundo,0.0,125,False,,,48,536916.jpg,0.0,Buonanotte,0.0,False,,a,5,36,0,574,83,3021,183,0.0,0.0,Buonanotte,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,619,243,615,242,608,235,626,246,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,320,213,623,246,624,246,524,192,0.0,0.0
0.0,0.0,233425,0,0,0,0,0,4,0.0,0.0,0,Aaron,0.0,127,False,Permanent move to Hull City,2023-08-04T09:39:43.029546Z,45,233425.jpg,0.0,Connolly,0.0,False,,u,5,36,0,0,0,2720,145,0.0,0.0,Connolly,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,567,54,564,58,552,58,574,58,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,402,67,574,59,575,59,548,77,0.0,0.0
,,168090,0,0,-1,1,0,3,0.5,0.5,0,Mahmoud,1.0,128,False,,,49,168090.jpg,1.3,Dahoud,0.1,False,,a,5,36,4,3532,97,9364,754,0.2,0.8,Dahoud,95,0,0,1,1,0,0,0,1,0,0,0,15,13.2,40.1,5.0,5.7,1,0.04,0.14,0.18,1.06,280,120,116,79,255,125,247,109,,,,,,,0.04,0.0,0.13,0.17,1.0,0.95,265,175,259,116,243,112,409,129,0.95,0.95
,,83299,0,0,0,0,0,2,1.3,1.3,2,Lewis,1.8,129,False,,,50,83299.jpg,1.8,Dunk,4.0,False,,a,5,36,7,73207,7913,124006,9790,0.4,1.4,Dunk,360,0,0,0,6,0,0,0,0,0,0,0,55,57.6,34.2,59.0,15.1,4,0.30,0.68,0.98,8.14,142,57,133,33,71,7,96,21,,,3.0,,,,0.08,0.0,0.17,0.25,2.04,1.5,170,20,179,58,207,66,88,35,1.0,0.0
0.0,0.0,474120,0,0,-2,2,0,3,0.0,0.0,0,Julio,2.0,130,False,Knee injury - Unknown return date,2023-08-23T21:00:05.704925Z,53,474120.jpg,4.0,Enciso,1.3,False,,i,5,36,8,45502,122,299879,19613,0.4,1.5,Enciso,68,0,2,0,1,0,0,0,1,0,0,0,30,39.0,25.0,30.0,9.4,1,0.20,0.58,0.78,2.02,195,78,167,105,123,72,181,88,,,,,,,0.26,0.0,0.77,1.03,2.67,1.32,157,100,166,72,75,32,144,48,1.32,0.0
,,204214,0,0,3,-3,1,2,4.7,4.7,2,Pervis,5.2,131,False,,,53,204214.jpg,5.2,Estupiñán,64.2,False,,a,5,36,21,1465104,67886,281822,40101,1.0,4.0,Estupiñan,360,1,2,0,6,0,0,0,2,0,0,4,95,129.8,161.1,91.0,38.1,4,0.39,1.12,1.51,8.14,19,4,11,1,41,3,15,1,,,,,,,0.1,0.0,0.28,0.38,2.04,1.5,152,11,25,5,32,8,3,1,1.0,0.0
,,487117,0,0,-1,1,1,4,5.7,5.7,17,Evan,6.2,132,False,,,59,487117.jpg,6.2,Ferguson,7.1,False,,a,5,36,25,296764,225665,256070,13181,1.1,4.2,Ferguson,205,4,0,1,4,0,0,0,0,0,0,3,103,147.8,18.7,163.0,33.1,2,2.56,0.11,2.67,5.50,11,2,193,28,11,4,19,4,,,,,,,1.12,0.0,0.05,1.17,2.41,1.76,80,25,11,3,12,3,57,10,0.88,0.44
,,243568,-1,1,-1,1,1,3,3.3,3.3,11,Billy,3.8,133,False,,,49,243568.jpg,3.8,Gilmour,0.2,False,,a,5,36,15,7210,5498,4325,545,0.8,3.1,Gilmour,241,0,2,1,4,0,0,0,0,0,0,2,62,55.8,73.3,20.0,14.9,3,0.22,0.55,0.77,6.12,144,50,48,35,167,93,98,55,4.0,,,,,,0.08,0.0,0.21,0.29,2.29,1.49,292,192,68,29,83,36,347,106,1.12,0.37
,,60307,0,0,-1,1,0,3,3.5,3.5,3,Pascal,4.0,134,False,,,64,60307.jpg,4.0,Groß,2.4,False,,a,5,36,16,17852,1431,179677,9079,0.6,2.5,Gross,348,1,0,1,5,0,0,0,1,0,0,3,78,125.6,220.8,78.0,42.4,4,0.65,1.00,1.65,7.52,23,11,1,1,49,29,6,5,1.0,,,,2.0,,0.17,0.0,0.26,0.43,1.94,1.29,54,32,63,28,78,35,111,34,1.03,0.26
,,475168,0,0,0,0,0,4,2.0,2.0,2,João Pedro,2.5,135,False,,,55,475168.jpg,2.5,Junqueira de Jesus,15.2,False,,a,5,36,10,371499,8012,1223112,125786,0.5,1.8,João Pedro,226,1,0,1,3,0,0,0,1,0,0,1,36,60.0,59.6,114.0,23.4,2,1.73,0.16,1.89,4.34,129,18,69,7,28,9,47,11,,,,,1.0,,0.69,0.0,0.06,0.75,1.73,1.19,119,36,131,20,154,25,23,6,0.8,0.4
0.0,0.0,442229,0,0,0,0,0,2,0.0,0.0,0,Michał,0.0,136,False,Permanent transfer to Hertha BSC,2023-08-09T08:35:32.699094Z,40,442229.jpg,0.0,Karbownik,0.0,False,,u,5,36,0,0,0,1793,67,0.0,0.0,Karbownik,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,446,171,431,169,401,152,454,172,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,663,204,452,168,453,168,593,207,0.0,0.0
0.0,0.0,484658,0,0,0,0,0,3,0.0,0.0,0,Kacper,0.0,137,False,Joined vitesse on a season long loan,2023-07-20T08:40:22.941077Z,45,484658.jpg,0.0,Kozłowski,0.0,False,,u,5,36,0,0,0,102,4,0.0,0.0,Kozłowski,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,589,225,586,224,575,216,596,228,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,445,237,593,228,594,228,697,296,0.0,0.0
100.0,100.0,39155,0,0,-1,1,0,3,0.0,0.0,0,Adam,0.5,138,False,,2023-08-11T13:30:06.325937Z,49,39155.jpg,0.7,Lallana,0.1,False,,a,5,36,2,919,71,3500,236,0.1,0.4,Lallana,48,0,0,0,2,0,0,0,1,0,0,0,6,8.2,27.9,8.0,4.4,0,0.00,0.05,0.05,1.80,312,135,152,95,232,117,273,119,,,,,,,0.0,0.0,0.09,0.09,3.38,3.75,233,149,321,144,366,173,491,172,0.0,0.0
,,232792,0,0,-1,1,0,2,-0.5,-0.5,0,Tariq,0.0,139,False,,,39,232792.jpg,0.0,Lamptey,5.5,False,,a,5,36,0,72574,14211,235964,16777,0.0,0.0,Lamptey,13,0,0,0,1,0,0,0,1,0,0,0,0,0.2,0.8,4.0,0.5,0,0.00,0.00,0.00,0.47,372,135,322,117,261,88,360,130,,,,,,,0.0,0.0,0.0,0.0,3.25,6.92,701,227,380,130,380,130,67,26,0.0,0.0
,,109345,0,0,1,-1,1,3,6.7,6.7,3,Solly,7.2,140,True,,,66,109345.jpg,7.2,March,10.3,False,,a,5,36,29,847216,29027,257056,48695,1.1,4.4,March,314,3,0,2,4,0,0,0,0,0,0,4,85,142.6,88.3,123.0,35.5,4,1.59,0.40,1.99,6.11,14,6,32,23,25,17,17,13,2.0,,2.0,,,,0.46,0.0,0.11,0.57,1.75,1.15,42,26,5,4,5,4,43,14,1.15,0.57
,,209288,0,0,0,0,0,1,-0.5,-0.5,0,Tom,0.0,141,False,,,40,209288.jpg,0.0,McGill,0.2,False,,a,5,36,0,1969,164,5559,433,0.0,0.0,McGill,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,423,49,406,33,374,29,431,49,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,634,59,426,48,427,49,304,47,0.0,0.0
,,15157,0,0,-1,1,0,3,0.7,0.7,0,James,1.2,142,False,,,49,15157.jpg,1.2,Milner,0.2,False,,a,5,36,5,4618,234,10183,1115,0.2,1.0,Milner,214,0,0,1,4,0,0,0,2,0,0,0,34,26.2,29.0,2.0,5.7,3,0.00,0.26,0.26,4.59,238,93,147,91,304,147,246,108,,,,,,,0.0,0.0,0.11,0.11,1.93,1.68,231,148,229,103,258,116,313,91,1.26,0.42
,,451340,-1,1,0,0,1,3,5.3,5.3,5,Kaoru,5.8,143,False,,,65,451340.jpg,5.8,Mitoma,40.6,False,,a,5,36,23,915849,42334,657409,65182,0.9,3.5,Mitoma,350,1,3,0,6,0,0,0,2,0,0,3,90,122.4,176.6,124.0,42.4,4,0.81,1.84,2.65,7.96,26,13,7,7,24,16,7,6,,,,,,,0.21,0.0,0.47,0.68,2.05,1.54,51,29,20,11,22,11,4,2,1.03,0.0
,,243505,0,0,-1,1,0,3,-0.5,-0.5,0,Jakub,0.0,144,False,,,44,243505.jpg,0.0,Moder,0.1,False,,a,5,36,0,1867,230,3464,302,0.0,0.0,Moder,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,527,190,515,188,493,179,534,193,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,543,277,535,195,536,195,461,154,0.0,0.0
0.0,0.0,441192,0,0,0,0,0,3,0.0,0.0,0,Jeremy,0.0,146,False,Joined West Bromwich Albion on a season-long loan,2023-07-26T11:28:45.117167Z,45,441192.jpg,0.0,Sarmiento Morante,0.0,False,,u,5,36,0,0,0,1192,64,0.0,0.0,Sarmiento,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,577,217,574,216,563,208,584,220,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,423,225,583,221,584,221,631,255,0.0,0.0
0.0,0.0,240514,0,0,0,0,0,1,0.0,0.0,0,Kjell,0.0,147,False,Joined Sturm Graz on a season-long loan,2023-07-06T16:30:02.985300Z,40,240514.jpg,0.0,Scherpen,0.0,False,,u,5,36,0,0,0,22,2,0.0,0.0,Scherpen,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,436,56,420,41,388,37,444,56,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,648,67,439,55,440,56,701,84,0.0,0.0
,,49262,-1,1,-1,1,0,1,0.7,0.7,0,Jason,1.2,148,False,,,44,49262.jpg,2.5,Steele,4.2,False,,a,5,36,5,43099,1788,170197,25247,0.3,1.1,Steele,180,0,0,0,2,0,0,0,0,0,6,0,39,60.6,0.0,0.0,6.0,2,0.00,0.00,0.00,3.51,126,18,469,61,442,57,240,18,,,,,,,0.0,3.0,0.0,0.0,1.76,1.0,484,27,216,19,145,16,83,13,1.0,0.0
0.0,0.0,450434,0,0,0,0,0,4,0.0,0.0,0,Deniz,0.0,149,False,Season long loan to Stuttgart,2023-08-04T09:40:56.708875Z,55,450434.jpg,0.0,Undav,0.0,False,,u,5,36,0,0,0,3826,138,0.0,0.0,Undav,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,686,81,686,82,684,83,688,83,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,118,35,685,83,686,83,582,83,0.0,0.0
,,469142,0,0,0,0,0,2,0.5,0.5,2,Jan Paul,1.0,150,False,,,40,469142.jpg,2.0,van Hecke,1.8,False,,a,5,36,4,118192,5328,79185,5058,0.2,1.0,Van Hecke,180,0,0,0,2,0,0,0,0,0,0,0,36,61.8,1.3,17.0,8.0,2,0.02,0.01,0.03,2.75,123,47,311,111,175,41,207,68,,,,,,,0.01,0.0,0.0,0.01,1.38,1.0,675,211,242,78,171,54,129,48,1.0,0.0
,,111478,0,0,-1,1,0,2,1.5,1.5,2,Joël,2.0,151,False,,,44,111478.jpg,2.0,Veltman,0.8,False,,a,5,36,8,13202,2152,46155,2062,0.5,1.8,Veltman,152,0,1,0,3,0,0,0,0,0,0,0,35,39.2,16.1,17.0,7.3,1,0.07,0.04,0.11,4.02,192,75,205,59,176,42,225,76,,,,,,,0.04,0.0,0.02,0.06,2.38,1.78,498,125,151,47,172,55,181,68,0.59,0.0
,,489639,0,0,-1,1,0,1,0.5,0.5,2,Bart,1.0,152,False,,,44,489639.jpg,2.0,Verbruggen,0.4,False,,a,5,36,4,6107,3472,16044,964,0.2,0.9,Verbruggen,180,0,0,0,4,0,0,0,0,0,6,0,33,48.2,0.0,0.0,4.8,2,0.00,0.00,0.00,4.63,165,20,530,65,509,61,267,20,,,,,,,0.0,3.0,0.0,0.0,2.32,2.0,566,31,246,21,174,19,239,34,1.0,0.0
100.0,100.0,110735,0,0,-1,1,0,2,0.0,0.0,0,Adam,0.5,153,False,,2023-08-11T13:30:06.362659Z,44,110735.jpg,1.0,Webster,0.3,False,,a,5,36,2,7518,323,13907,998,0.1,0.5,Webster,180,0,0,0,4,0,0,0,1,0,0,0,34,40.6,7.1,0.0,4.8,2,0.00,0.06,0.06,5.39,184,73,267,87,454,182,266,94,,,,,,,0.0,0.0,0.03,0.03,2.7,2.0,497,124,306,103,274,94,285,110,1.0,0.0
0.0,0.0,50175,0,0,-1,1,0,4,0.0,0.0,0,Danny,1.0,154,False,Muscle injury - Expected back 16 Sep,2023-09-01T13:30:07.634596Z,59,50175.jpg,1.3,Welbeck,1.1,False,,i,5,36,4,22736,99,146455,19862,0.2,0.7,Welbeck,192,0,0,1,2,0,0,0,0,0,0,0,5,12.2,41.8,62.0,11.6,3,0.52,0.33,0.85,3.50,284,33,111,12,66,23,144,24,,,,,3.0,,0.24,0.0,0.15,0.39,1.64,0.94,70,24,272,37,247,37,153,26,1.41,0.47
,,204676,0,0,-1,1,0,4,-0.5,-0.5,0,Andi,0.0,155,False,,,44,204676.jpg,0.0,Zeqiri,1.0,False,,a,5,36,0,24051,5153,48603,4463,0.0,0.0,Zeqiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,511,47,498,51,474,51,518,51,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,522,86,519,52,520,52,161,29,0.0,0.0
,,223434,0,0,-1,1,0,2,-0.5,-0.5,0,Igor Julio,0.0,606,False,,,44,223434.jpg,0.0,dos Santos de Paulo,0.1,False,,a,5,36,0,1335,109,6246,394,0.0,0.0,Igor,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,519,210,506,208,484,199,526,210,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,533,145,527,209,528,209,416,162,0.0,0.0
,,532529,0,0,0,0,0,3,-0.5,-0.5,0,Jack,0.0,621,False,,,45,532529.jpg,0.0,Hinshelwood,0.0,False,,a,5,36,0,456,64,672,71,0.0,0.0,Hinshelwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,607,236,603,235,594,228,614,239,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,468,251,610,239,611,239,618,246,0.0,0.0
,,535301,0,0,0,0,0,3,0.6,0.6,0,Carlos,0.0,690,False,,,45,535301.jpg,0.0,Baleba,0.0,False,,a,5,36,0,525,344,59,45,0.0,0.0,Baleba,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,608,237,604,236,595,229,615,240,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,470,252,611,240,612,240,658,270,0.0,0.0
,,465607,0,0,0,0,0,3,1.8,1.8,0,Anssumane,0.0,700,False,,,65,465607.jpg,0.0,Fati Vieira,0.3,False,,a,5,36,0,27020,18592,2353,1966,0.0,0.0,Ansu Fati,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,697,299,697,299,698,299,698,299,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,53,31,695,298,696,298,267,78,0.0,0.0
,,578614,0,0,-1,1,0,3,-0.5,-0.5,0,Enock,0.0,156,False,,,44,578614.jpg,0.0,Agyei,0.1,False,,a,6,90,0,2214,213,7748,562,0.0,0.0,Agyei,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,546,206,536,205,516,197,553,209,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,574,300,553,210,554,210,372,115,0.0,0.0
,,487968,0,0,0,0,0,2,0.2,0.2,0,Ameen,0.7,157,False,,,40,487968.jpg,0.7,Al-Dakhil,0.6,False,,a,6,90,2,27578,1058,20221,1698,0.2,0.5,Al-Dakhil,270,0,0,0,11,0,0,0,0,0,0,0,29,29.2,12.3,12.0,5.3,3,0.09,0.20,0.29,6.99,231,92,234,71,208,60,257,89,,,,,,,0.03,0.0,0.07,0.1,2.33,3.67,687,218,299,99,362,118,203,77,1.0,0.0
,,189776,0,0,-1,1,0,3,-0.5,-0.5,0,Samuel,0.0,158,False,,,49,189776.jpg,0.0,Bastien,0.0,False,,a,6,90,0,249,23,1413,91,0.0,0.0,Bastien,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,635,257,631,256,625,250,641,259,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,272,180,637,258,638,258,565,217,0.0,0.0
,,183751,0,0,-1,1,0,3,0.2,0.2,0,Manuel Benson,0.7,159,False,,,54,183751.jpg,1.0,Hedilazio,0.1,False,,a,6,90,2,1015,54,8526,768,0.1,0.4,Benson,61,0,0,0,3,0,0,0,0,0,0,0,4,2.0,2.4,2.0,0.7,1,0.00,0.00,0.00,2.93,358,164,298,152,313,153,354,161,3.0,,,,,,0.0,0.0,0.0,0.0,4.32,4.43,135,81,303,139,341,159,392,124,1.48,0.0
100.0,0.0,241231,0,0,0,0,0,2,-0.5,0.0,-1,Jordan,0.0,160,False,,2023-08-27T23:00:06.773004Z,40,241231.jpg,0.0,Beyer,3.4,False,,a,6,90,0,32671,545,130865,11951,0.0,0.0,Beyer,146,0,0,0,7,0,0,0,1,0,0,0,29,41.0,0.6,0.0,4.2,2,0.00,0.00,0.00,3.15,181,72,330,119,389,142,277,99,,,,,,,0.0,0.0,0.0,0.0,1.94,4.32,649,192,440,158,441,158,94,38,1.23,0.0
,,172782,-1,1,-2,2,0,3,1.5,1.5,5,Josh,2.0,161,False,,,48,172782.jpg,3.0,Brownhill,0.2,False,,a,6,90,6,1682,787,13768,718,0.4,1.2,Brownhill,46,1,0,0,3,0,0,0,1,0,0,0,21,33.6,24.9,22.0,8.1,0,0.19,0.17,0.36,1.33,217,86,168,106,154,87,204,95,4.0,,3.0,,,,0.37,0.0,0.33,0.7,2.6,5.87,312,208,157,67,118,54,337,100,0.0,0.0
0.0,0.0,250735,0,0,-1,1,0,3,0.0,0.0,0,Darko,0.0,162,False,Illness - Unknown return date,2023-08-31T18:00:07.313510Z,44,250735.jpg,0.0,Churlinov,0.0,False,,i,6,90,0,314,11,1689,204,0.0,0.0,Churlinov,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,530,193,518,191,496,182,537,196,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,548,280,538,198,539,198,559,215,0.0,0.0
,,40145,0,0,-1,1,0,3,-0.2,-0.2,1,Jack,0.3,163,False,,,49,40145.jpg,1.0,Cork,0.0,False,,a,6,90,1,170,18,1345,61,0.1,0.2,Cork,16,0,0,0,0,0,0,0,0,0,0,0,2,1.8,0.9,2.0,0.5,0,0.00,0.01,0.01,0.13,359,165,320,161,305,148,364,165,,,,,,,0.0,0.0,0.06,0.06,0.73,0.0,234,150,337,157,313,137,569,219,0.0,0.0
0.0,0.0,530873,0,0,0,0,0,3,0.0,0.0,0,Dara,0.0,164,False,Season long loan to St Johnstone,2023-08-17T06:12:47.501520Z,45,530873.jpg,0.0,Costelloe,0.0,False,,u,6,90,0,101,0,2077,93,0.0,0.0,Costelloe,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,604,235,600,234,591,227,611,238,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,465,250,607,238,608,238,598,235,0.0,0.0
,,172567,0,0,0,0,0,3,2.2,2.2,5,Josh,2.7,165,False,,,50,172567.jpg,2.7,Cullen,0.1,False,,a,6,90,8,1108,119,2169,157,0.5,1.6,Cullen,270,0,1,0,11,0,0,0,1,0,0,0,43,38.0,39.2,4.0,8.1,3,0.03,0.53,0.56,6.99,201,80,118,80,278,136,205,96,2.0,,,,,,0.01,0.0,0.18,0.19,2.33,3.67,191,118,119,54,142,62,466,158,1.0,0.0
,,432711,0,0,0,0,0,2,-0.5,-0.5,0,CJ,0.0,166,False,,,40,432711.jpg,0.0,Egan-Riley,0.1,False,,a,6,90,0,547,51,4160,273,0.0,0.0,Egan-Riley,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,442,167,427,165,395,146,450,168,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,657,198,447,163,448,163,393,148,0.0,0.0
0.0,0.0,478969,0,0,0,0,0,2,0.0,0.0,0,Hjalmar,0.0,167,False,Knee injury - Unknown return date,2023-08-31T02:00:07.493185Z,40,478969.jpg,0.0,Ekdal,0.2,False,,i,6,90,0,781,22,7567,1054,0.0,0.0,Ekdal,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,463,180,447,177,418,161,470,180,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,682,215,468,176,469,176,335,130,0.0,0.0
,,435973,0,0,0,0,0,4,4.5,4.5,6,Lyle,5.0,168,False,,,50,435973.jpg,5.0,Foster,0.6,False,,a,6,90,15,34423,13198,15634,2057,1.0,3.0,Foster,260,2,0,0,11,0,0,0,0,0,0,1,53,82.0,27.8,76.0,18.5,3,0.81,0.09,0.90,6.85,66,9,153,19,51,18,71,14,,,,,,,0.28,0.0,0.03,0.31,2.37,3.81,211,47,30,9,39,10,214,39,1.04,0.0
,,493347,0,0,0,0,0,1,-0.5,-0.5,0,Denis,0.0,169,False,,,40,493347.jpg,0.0,Franchi,0.1,False,,a,6,90,0,838,51,3826,218,0.0,0.0,Franchi,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,467,69,451,54,422,50,474,69,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,688,80,472,68,473,69,369,54,0.0,0.0
,,60586,0,0,-1,1,0,3,0.8,0.8,0,Jóhann Berg,1.3,170,False,,,49,60586.jpg,2.0,Gudmundsson,0.0,False,,a,6,90,4,819,28,2041,144,0.3,0.8,Gudmundsson,90,0,1,0,3,0,0,0,1,0,0,0,17,30.4,56.3,6.0,9.3,1,0.00,0.20,0.20,1.84,225,90,75,51,247,120,184,89,2.0,,2.0,,,,0.0,0.0,0.2,0.2,1.84,3.0,241,155,211,97,182,76,526,193,1.0,0.0
0.0,0.0,483391,0,0,0,0,0,2,0.0,0.0,0,Luke,0.0,171,False,Season long loan to Stoke City,2023-08-04T09:35:51.951556Z,40,483391.jpg,0.0,McNally,0.0,False,,u,6,90,0,0,0,1171,64,0.0,0.0,McNally,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,465,181,449,178,420,162,472,181,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,685,217,470,177,471,177,606,210,0.0,0.0
,,232917,0,0,-1,1,0,1,-0.5,-0.5,0,Arijanet,0.0,172,False,,,44,232917.jpg,0.0,Muric,0.2,False,,a,6,90,0,611,62,8928,539,0.0,0.0,Muric,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,523,77,511,64,489,60,530,77,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,539,30,531,76,532,77,312,49,0.0,0.0
,,216616,0,0,0,0,0,2,0.2,0.2,0,Dara,0.7,173,False,,,45,216616.jpg,0.7,O'Shea,0.2,False,,a,6,90,2,2230,123,5553,554,0.2,0.4,O'Shea,270,0,0,0,11,0,0,0,0,0,0,0,48,80.6,15.7,11.0,10.8,3,0.04,0.02,0.06,6.99,70,19,208,61,214,63,153,42,,,,,,,0.01,0.0,0.01,0.02,2.33,3.67,387,82,302,101,365,121,311,122,1.0,0.0
0.0,0.0,220598,0,0,-1,1,0,4,0.0,0.0,0,Michael,0.0,174,False,Hamstring injury - Unknown return date,2023-08-06T23:30:05.563053Z,49,220598.jpg,0.0,Obafemi,0.0,False,,i,6,90,0,385,38,2793,179,0.0,0.0,Obafemi,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,640,71,636,74,631,75,646,75,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,285,55,642,74,643,74,549,78,0.0,0.0
